predictor,outcome,n,n_groups,beta,se,z,p,p_two_tailed,re_var,log_likelihood,converged,degenerate_re,optimizer
l_amyg-ant_vmPFC_neg,PA_score,80,,0.18024160441064316,0.2115701845574147,0.8519234635432774,0.19712828651703107,0.39425657303406214,0.3820230249461267,-83.43917131671893,True,False,lbfgs
l_amyg-ant_vmPFC_neg,NA_score,80,,-0.14801318353497273,0.0798519195519131,-1.853595810414386,0.03189850372166392,0.06379700744332784,0.02286679811584237,14.03736743803816,True,False,lbfgs
l_amyg-post_vmPFC_neg,PA_score,80,,-0.22107252343439804,0.22896615560860245,-0.9655248953574699,0.8328590136212627,0.3342819727574746,0.43050137870161387,-83.50296220359922,True,False,lbfgs
l_amyg-post_vmPFC_neg,NA_score,80,,-0.05282308310125072,0.06489264915846518,-0.8140071916660225,0.2078204155289285,0.415640831057857,0.01582025683476978,12.768628555385476,True,False,lbfgs
